Date,Close/Last,Open,High,Low
5/30/2024,10205.24,10332.57,10348.39,10174.34
5/29/2024,10396.4,10386.55,10451.02,10386.55
5/28/2024,10526.85,10592.65,10594.29,10462.57
5/24/2024,10549.22,10494.5,10616.85,10480.6
5/23/2024,10495.82,10698.18,10704.39,10444.49
5/22/2024,10568.8,10566.26,10595.3,10489.32
5/21/2024,10507.1,10454.12,10515.1,10437.74
5/20/2024,10554.51,10432.06,10568.81,10424.56
5/17/2024,10419.3,10461.64,10471.49,10364.85
5/16/2024,10436.75,10449.96,10501.02,10433.35
5/15/2024,10454.29,10305.7,10456.72,10280.26
5/14/2024,10213.48,10128.3,10221.07,10124.29
5/13/2024,10140.59,10144.43,10161.5,10116.12
5/10/2024,10090.34,10098.77,10171.79,10061.48
5/9/2024,10038.43,10069.95,10083.03,10005.31
5/8/2024,10061.81,10009.26,10069.12,9997.68
5/7/2024,10076.02,10084.59,10150.39,10072.95
5/6/2024,10112.97,10029.74,10112.98,10002.87
5/3/2024,9982.19,9976.71,10033.73,9927.31
5/2/2024,9840.5,9814.44,9866.89,9649.8
5/1/2024,9692.12,9779.79,9948.78,9663.95
4/30/2024,9845.68,10006.06,10056.67,9843.4
4/29/2024,10039.64,10061.98,10091.76,9984.82
4/26/2024,10055.63,9937.87,10090.74,9911.51
4/25/2024,9893.93,9775.95,9930.66,9742.34
4/24/2024,9895.33,9978.22,10001.53,9829.17
4/23/2024,9828.82,9693.75,9871.1,9675.59
4/22/2024,9631.73,9594.19,9681.2,9474.05
4/19/2024,9500.55,9669.97,9716.74,9458.7
4/18/2024,9716.7,9796.75,9848.76,9702.06
4/17/2024,9816.78,10017.08,10031.66,9813.73
4/16/2024,10010.93,9971.47,10066.93,9945.21
4/15/2024,9976.72,10254.21,10268.85,9941.6
4/12/2024,10162.06,10256.62,10284.49,10142.38
4/11/2024,10419.72,10309.7,10435.47,10228.59
4/10/2024,10243.23,10241.3,10307.9,10193.32
4/9/2024,10400.32,10391.06,10416.74,10278.89
4/8/2024,10309.02,10330.4,10356.05,10249.68
4/5/2024,10306.57,10213.8,10360.46,10182.48
4/4/2024,10172.51,10500.74,10520.82,10170.71
4/3/2024,10372.26,10281.75,10434.53,10277.02
4/2/2024,10348.49,10300.06,10361.97,10253.35
4/1/2024,10463.7,10449.15,10549.38,10422.84
3/28/2024,10420.33,10421.24,10470.01,10402.61
3/27/2024,10427.4,10465.02,10465.77,10324.46
3/26/2024,10373.65,10426.54,10467.23,10372.07
3/25/2024,10388.22,10338.67,10441.83,10320.15
3/22/2024,10444.17,10443.19,10491.34,10377.05
3/21/2024,10472.44,10563.24,10595.64,10465
3/20/2024,10372.62,10271.41,10390.14,10199.54
3/19/2024,10224.57,10127.84,10240.68,10067.28
3/18/2024,10221.21,10277.08,10301.5,10212.74
3/15/2024,10146.99,10229.64,10242.54,10141.28
3/14/2024,10298.42,10401.43,10418.42,10226.46
3/13/2024,10391.86,10466.63,10475.09,10361.19
3/12/2024,10530.35,10449.84,10532.88,10337.09
3/11/2024,10359.64,10335.14,10387.1,10254.67
3/8/2024,10415.33,10672.33,10724.92,10408.53
3/7/2024,10686.65,10568.57,10719.27,10530.22
3/6/2024,10475.54,10542.01,10566.63,10407.91
3/5/2024,10332.76,10480.4,10489.52,10255.24
3/4/2024,10606.42,10638.12,10670.77,10579.77
3/1/2024,10606.23,10452.33,10636.81,10422.44
2/29/2024,10411.78,10352.31,10427.28,10276.48
2/28/2024,10257.58,10260.1,10295.95,10228.16
2/27/2024,10347.51,10370.9,10422.41,10315.01
